item_id,title,description,date,time,person,priority,source_message_id
TASK_MSG_0720,Share the meeting notes is due on 2026-09-09.,Share the meeting notes is due on 2026-09-09.,2026-09-09,,,medium,MSG_0720
TASK_MSG_0730,Just checking—Please submit the weekly report by 2026-09-03.,Just checking—Please submit the weekly report by 2026-09-03.,2026-09-03,,,medium,MSG_0730
TASK_MSG_0757,"Hi, Don't forget to call the service centre; deadline is 202","Hi, Don't forget to call the service centre; deadline is 2026-09-02.",2026-09-02,,,medium,MSG_0757
TASK_MSG_0759,The product demo is scheduled for 2026-09-12 at 11:00 in Mee,The product demo is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00,,medium,MSG_0759
TASK_MSG_0773,Important: I might prefer evening meetings now.,Important: I might prefer evening meetings now.,,,,medium,MSG_0773
TASK_MSG_0783,Quick update: I need you to review the model results by 2026,Quick update: I need you to review the model results by 2026-09-09.,2026-09-09,,,medium,MSG_0783
TASK_MSG_0787,Important: Share the meeting notes is due on 2026-09-03.,Important: Share the meeting notes is due on 2026-09-03.,2026-09-03,,,medium,MSG_0787
TASK_MSG_0792,The project review is scheduled for 2026-09-02 at 9:00 in Me,The project review is scheduled for 2026-09-02 at 9:00 in Meeting Room A.,2026-09-02,,,medium,MSG_0792
TASK_MSG_0795,For today: Share the meeting notes is due on 2026-09-06.,For today: Share the meeting notes is due on 2026-09-06.,2026-09-06,,,medium,MSG_0795
TASK_MSG_0797,"Important: Calendar update: family dinner, 2026-09-04 at 15:","Important: Calendar update: family dinner, 2026-09-04 at 15:00, the college auditorium.",2026-09-04,15:00,,medium,MSG_0797
TASK_MSG_0800,Just checking—Are you available for the design review at 12:,Just checking—Are you available for the design review at 12:00 on 2026-09-05? Location: the main office.,2026-09-05,12:00,,medium,MSG_0800
TASK_MSG_0810,"Hi, Are you available for the design review at 13:00 on 2026","Hi, Are you available for the design review at 13:00 on 2026-09-10? Location: the training hall.",2026-09-10,13:00,,medium,MSG_0810
TASK_MSG_0811,Just checking—Please call Maya when you are free.,Just checking—Please call Maya when you are free.,,,,medium,MSG_0811
TASK_MSG_0814,For today: Please complete the Python exercise by 2026-09-05,For today: Please complete the Python exercise by 2026-09-05.,2026-09-05,,,medium,MSG_0814
TASK_MSG_0816,"Quick update: If possible, review the file before the meetin","Quick update: If possible, review the file before the meeting.",,,,medium,MSG_0816
TASK_MSG_0819,Please note: Share the meeting notes is due on 2026-09-02.,Please note: Share the meeting notes is due on 2026-09-02.,2026-09-02,,,medium,MSG_0819
TASK_MSG_0824,FYI: Please submit the weekly report by 2026-09-07.,FYI: Please submit the weekly report by 2026-09-07.,2026-09-07,,,medium,MSG_0824
TASK_MSG_0827,For today: Please call Maya when you are free.,For today: Please call Maya when you are free.,,,,medium,MSG_0827
TASK_MSG_0840,The review could be Friday afternoon.,The review could be Friday afternoon.,,,,medium,MSG_0840
TASK_MSG_0845,"Just checking—Calendar update: family dinner, 2026-09-09 at ","Just checking—Calendar update: family dinner, 2026-09-09 at 16:00, the library.",2026-09-09,16:00,,medium,MSG_0845
TASK_MSG_0849,Please note: Are you available for the design review at 16:0,Please note: Are you available for the design review at 16:00 on 2026-09-05? Location: the main office.,2026-09-05,16:00,,medium,MSG_0849
TASK_MSG_0861,Can you help? Reminder: mentor catch-up happens on 2026-09-1,Can you help? Reminder: mentor catch-up happens on 2026-09-11 at 10:00 in the cafeteria.,2026-09-11,10:00,,medium,MSG_0861
TASK_MSG_0866,One more thing: Reminder: mentor catch-up happens on 2026-09,One more thing: Reminder: mentor catch-up happens on 2026-09-06 at 9:00 in the city clinic.,2026-09-06,,,medium,MSG_0866
TASK_MSG_0876,"Important: For my profile, i usually study after dinner.","Important: For my profile, i usually study after dinner.",,,,medium,MSG_0876
TASK_MSG_0878,Please note: The client discussion is scheduled for 2026-09-,Please note: The client discussion is scheduled for 2026-09-02 at 13:00 in Meeting Room A.,2026-09-02,13:00,,medium,MSG_0878
TASK_MSG_0883,For today: I need you to review the model results by 2026-09,For today: I need you to review the model results by 2026-09-02.,2026-09-02,,,medium,MSG_0883
TASK_MSG_0886,For today: The review could be Friday afternoon.,For today: The review could be Friday afternoon.,,,,medium,MSG_0886
TASK_MSG_0893,Important: Can you review the privacy checklist before 2026-,Important: Can you review the privacy checklist before 2026-09-03?,2026-09-03,,,medium,MSG_0893
TASK_MSG_0894,Important: Are you available for the design review at 11:00 ,Important: Are you available for the design review at 11:00 on 2026-09-20? Location: the training hall.,2026-09-20,11:00,,medium,MSG_0894
TASK_MSG_0898,Can you help? Please complete the Python exercise by 2026-09,Can you help? Please complete the Python exercise by 2026-09-06.,2026-09-06,,,medium,MSG_0898
